,BusinessName,Address,City,State,ZIP,location,coordinates,longitude,lattitude
654,Seven Hills Medical Spa,880 Seven Hills Dr,Henderson,Nv,89052,880 Seven Hills Dr Henderson NV 89052,"[-115.121543, 35.995675]",-115.121543,35.995675
655,Radiant Skin,8565 S Eastern Ave ste 150,Las Vegas,Nv,89123,8565 S Eastern Ave ste 150 Las Vegas NV 89123,"[-115.11986, 36.03413]",-115.11986,36.03413
656,Shine Nails,4021 W Sahara Ave,Las Vegas,Nv,89102,4021 W Sahara Ave Las Vegas NV 89102,"[-115.19442, 36.14425]",-115.19442,36.14425
657,Parkway Clinic,2110 E Flamingo Rd,Las Vegas,Nv,89119,2110 E Flamingo Rd Las Vegas NV 89119,"[-115.12317, 36.115655]",-115.12317,36.115655
658,Saturnal Kiss Therapeutics,6877 west charleston boulevard bldg# 6877,Las Vegas,Nv,89117,6877 west charleston boulevard bldg# 6877 Las Vegas NV 89117,"[-115.24466, 36.15896]",-115.24466,36.15896
659,Vivoplus Spa,2619 W Charleston Blvd suite A,Las Vegas,Nv,89102,2619 W Charleston Blvd suite A Las Vegas NV 89102,"[-115.17701, 36.15876]",-115.17701,36.15876
660,Summerlin Dermal Solutions,851 S Rampart Blvd,Las Vegas,Nv,89102,851 S Rampart Blvd Las Vegas NV 89145,"[-115.29224, 36.16333]",-115.29224,36.16333
661,Scan on Demand,2747 Paradise Rd,Las Vegas,Nv,89109,2747 Paradise Rd Las Vegas NV 89109,"[-115.15689, 36.13881]",-115.15689,36.13881
662,"Core-to-Floor, LLC",7455 W Washington Ave #422,Las Vegas,Nv,89128,7455 W Washington Ave #422 Las Vegas NV 89128,"[-115.25562, 36.17917]",-115.25562,36.17917
663,Dees Timeless Beauty,6625 W Sahara Ave Suite 5,Las Vegas,Nv,89146,6625 W Sahara Ave Suite 5 Las Vegas NV 89146,"[-115.23727, 36.1431]",-115.23727,36.1431
